District,Town,Member,Party,Email,Phone,Committees
58,Vienna,Sharon C. Frost,U - Belgrade,Sharon.Frost@legislature.maine.gov,(207) 242-6079,"Agriculture, Conservation and Forestry; Veterans and Legal Affairs"
15,Vinalhaven,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
4,Wade,Timothy C. Guerrette,R - Caribou,Timothy.Guerrette@legislature.maine.gov,(207) 227-3577,"Agriculture, Conservation and Forestry - Ranking Member"
8,Waite,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
38,Waldo,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
45,Waldoboro,Abden S. Simmons,R - Waldoboro,Abden.Simmons@legislature.maine.gov,(207) 446-4518,Marine Resources
56,Wales,Randall Adam Greenwood,R - Wales,Randall.Greenwood@legislature.maine.gov,(207) 754-6604,State and Local Government - Ranking Member
1,Wallagrass,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
13,Waltham,Russell P. White,R - Ellsworth,Russell.White@legislature.maine.gov,(207) 460-6359,Taxation
44,Warren,William D. Pluecker,I - Warren,Bill.Pluecker@legislature.maine.gov,(207) 273-3044,"Engrossed Bills; Agriculture, Conservation and Forestry - Chair"
4,Washburn,Timothy C. Guerrette,R - Caribou,Timothy.Guerrette@legislature.maine.gov,(207) 227-3577,"Agriculture, Conservation and Forestry - Ranking Member"
45,Washington,Abden S. Simmons,R - Waldoboro,Abden.Simmons@legislature.maine.gov,(207) 446-4518,Marine Resources
136,Waterboro (Part),John M. Eder,R - Waterboro,John.Eder@legislature.maine.gov,(207) 283-5729,Government Oversight Committee; Housing and Economic Development
139,Waterboro (Part),David C. Woodsome,R - Waterboro,David.Woodsome@legislature.maine.gov,(207) 432-5643,Leaves of Absence - Ranking Member; Environment and Natural Resources; Inland Fisheries and Wildlife
81,Waterford,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
64,Waterville (Part),Flavia M. DeBrito,D - Waterville,Flavia.DeBrito@legislature.maine.gov,(207) 660-7212,Health and Human Services
65,Waterville (Part),Cassie Lynn Julia,D - Waterville,Cassie.Julia@legislature.maine.gov,(207) 649-5110,Leaves of Absence; Housing and Economic Development
91,Wayne,Joshua K. Morris,R - Turner,Joshua.Morris@legislature.maine.gov,(207) 754-7829,"Elections - Ranking Member; Health Coverage, Insurance and Financial Services"
8,plantation Webster,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
74,Weld,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
30,Wellington,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
145,Wells (Part),Robert A. Foley,R - Wells,Robert.Foley@legislature.maine.gov,(207) 590-2144,"Health Coverage, Insurance and Financial Services - Ranking Member"
146,Wells (Part),Walter Gerard Runte,D - York,Gerry.Runte@legislature.maine.gov,(207) 361-7143,"Leaves of Absence; Energy, Utilities and Technology"
10,Wesley,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
49,West Bath,Allison Hepler,D - Woolwich,Allison.Hepler@legislature.maine.gov,(207) 319-4396,"Agriculture, Conservation and Forestry; Marine Resources - Chair"
73,unorganized territory of West Central Franklin,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
73,plantation West Forks,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
55,West Gardiner,Daniel Joseph Shagoury,D - Hallowell,Daniel.Shagoury@legislature.maine.gov,(207) 242-2169,Health and Human Services
79,West Paris,Michael J. Lance,R - Paris,Michael.Lance@legislature.maine.gov,(207) 577-1022,Inland Fisheries and Wildlife
126,Westbrook (Part),Drew Gattine,D - Westbrook,Andrew.Gattine@legislature.maine.gov,(207) 409-3477,Appropriations and Financial Affairs - Chair
127,Westbrook (Part),Morgan J. Rielly,D - Westbrook,Morgan.Rielly@legislature.maine.gov,(207) 228-5767,Engrossed Bills - Chair; Environment and Natural Resources; Marine Resources
128,Westbrook (Part),Suzanne M. Salisbury,D - Westbrook,Suzanne.Salisbury@legislature.maine.gov,(207) 899-6863,State and Local Government - Chair
6,Westfield,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
3,Westmanland,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
8,Weston,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
48,Westport Island,Holly B. Stover,D - Boothbay,Holly.Stover@legislature.maine.gov,(207) 633-5979,Ethics; Appropriations and Financial Affairs
47,Whitefield,Wayne K. Farrin,D - Jefferson,Wayne.Farrin@legislature.maine.gov,(207) 592-9057,Marine Resources; State and Local Government
10,Whiting,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
8,unorganized territory of Whitney (Pukakon) Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
11,Whitneyville,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
30,Willimantic,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
74,Wilton,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
106,Windham (Part),Barbara A. Bagshaw,R - Windham,Barbara.Bagshaw@legislature.maine.gov,(207) 310-0051,Education and Cultural Affairs
107,Windham (Part),Mark C. Cooper,R - Windham,Mark.Cooper@legislature.maine.gov,(207) 232-5842,"Agriculture, Conservation and Forestry"
62,Windsor,Katrina J. Smith,R - Palermo,Katrina.Smith@legislature.maine.gov,(207) 230-9583,Ethics; Rules and Business of the House; Joint Select Committee on Joint Rules
28,Winn,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
63,Winslow (Part),Paul R. Flynn,R - Albion,Paul.Flynn@legislature.maine.gov,(207) 314-5525,"Health Coverage, Insurance and Financial Services"
64,Winslow (Part),Flavia M. DeBrito,D - Waterville,Flavia.DeBrito@legislature.maine.gov,(207) 660-7212,Health and Human Services
12,Winter Harbor,Billy Bob Faulkingham,R - Winter Harbor,William.Faulkingham@legislature.maine.gov,(207) 460-6967,Joint Select Committee on Joint Rules - Ranking Member
37,Winterport,Reagan L. Paul,R - Winterport,Reagan.Paul@legislature.maine.gov,(207) 944-8033,"Elections; Energy, Utilities and Technology"
1,plantation Winterville,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
57,Winthrop,Tavis Rock Hasenfus,D - Readfield,Tavis.Hasenfus@legislature.maine.gov,(207) 446-0016,Ethics; Criminal Justice and Public Safety - Chair
47,Wiscasset,Wayne K. Farrin,D - Jefferson,Wayne.Farrin@legislature.maine.gov,(207) 592-9057,Marine Resources; State and Local Government
3,Woodland,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
79,Woodstock,Michael J. Lance,R - Paris,Michael.Lance@legislature.maine.gov,(207) 577-1022,Inland Fisheries and Wildlife
29,Woodville,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
49,Woolwich,Allison Hepler,D - Woolwich,Allison.Hepler@legislature.maine.gov,(207) 319-4396,"Agriculture, Conservation and Forestry; Marine Resources - Chair"
73,unorganized territory of Wyman Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
103,Yarmouth,Arthur L. Bell,D - Yarmouth,Arthur.Bell@legislature.maine.gov,(207) 415-1217,Environment and Natural Resources
146,York (Part),Walter Gerard Runte,D - York,Gerry.Runte@legislature.maine.gov,(207) 361-7143,"Leaves of Absence; Energy, Utilities and Technology"
147,York (Part),Holly T. Sargent,D - York,Holly.Sargent@legislature.maine.gov,(617) 230-1045,Education and Cultural Affairs; Joint Select Committee on Joint Rules
